customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0001,Female,0,No,No,1,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,Yes
C0002,Male,0,No,No,34,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),56.95,1889.5,No
C0003,Male,0,Yes,No,2,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,53.85,108.15,Yes
C0004,Female,0,Yes,Yes,45,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),42.30,1840.75,No
C0005,Female,1,No,No,5,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Maestro,18.95,94.75,Yes
C0006,Male,0,No,No,22,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),89.10,1950.45,No
C0007,Female,0,Yes,No,10,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.20,292.00,Yes
C0008,Male,0,No,No,70,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),19.70,1386.00,No
C0009,Female,1,No,Yes,3,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,15.50,46.50,Yes
C0010,Male,0,Yes,Yes,52,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),105.00,5460.00,No
